"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 10:11:00 GMT+0530 (India Standard Time)","164.30","166.20","163.30","164.60","169.32","180.03","158.60","190.75","147.89","201.46","137.17","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9165845.00","297635.00"
"Wed Jul 15 2026 10:12:00 GMT+0530 (India Standard Time)","164.65","164.65","160.20","162.55","169.22","179.89","158.55","190.57","147.88","201.24","137.21","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9261265.00","436800.00"
"Wed Jul 15 2026 10:13:00 GMT+0530 (India Standard Time)","162.75","163.80","161.60","161.60","169.18","179.84","158.53","190.49","147.88","201.14","137.22","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9294740.00","186550.00"
"Wed Jul 15 2026 10:14:00 GMT+0530 (India Standard Time)","161.95","162.20","158.35","158.85","169.06","179.70","158.42","190.33","147.79","200.97","137.15","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9327955.00","421135.00"
"Wed Jul 15 2026 10:15:00 GMT+0530 (India Standard Time)","158.85","159.30","156.40","158.85","168.83","179.47","158.19","190.11","147.55","200.75","136.91","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9422920.00","712270.00"
"Wed Jul 15 2026 10:16:00 GMT+0530 (India Standard Time)","158.85","159.95","153.60","154.75","168.50","179.19","157.81","189.89","147.12","200.58","136.42","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9479795.00","871390.00"
"Wed Jul 15 2026 10:17:00 GMT+0530 (India Standard Time)","154.75","154.90","149.60","151.25","167.95","178.87","157.02","189.80","146.09","200.73","135.17","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9436960.00","1176500.00"
"Wed Jul 15 2026 10:18:00 GMT+0530 (India Standard Time)","151.25","153.45","150.85","151.50","167.55","178.63","156.48","189.70","145.41","200.77","134.33","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9470045.00","887965.00"
"Wed Jul 15 2026 10:19:00 GMT+0530 (India Standard Time)","151.50","153.75","149.05","152.65","167.30","178.46","156.14","189.62","144.98","200.78","133.82","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9667645.00","585780.00"
"Wed Jul 15 2026 10:20:00 GMT+0530 (India Standard Time)","153.00","154.45","151.35","151.55","166.95","178.21","155.69","189.46","144.44","200.72","133.18","267.60","320.70","235.70","352.60","182.60","437.60","97.60","9798100.00","896025.00"
