"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 09:53:00 GMT+0530 (India Standard Time)","153.45","155.25","152.50","154.85","147.51","162.39","132.63","177.27","117.75","192.15","102.87","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8273915.00","313625.00"
"Wed Jul 15 2026 09:54:00 GMT+0530 (India Standard Time)","154.85","157.95","154.00","156.55","147.59","162.42","132.75","177.26","117.91","192.10","103.08","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8350615.00","335075.00"
"Wed Jul 15 2026 09:55:00 GMT+0530 (India Standard Time)","156.55","159.70","155.60","158.35","147.75","162.52","132.97","177.30","118.20","192.07","103.42","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8348860.00","601835.00"
"Wed Jul 15 2026 09:56:00 GMT+0530 (India Standard Time)","158.35","159.30","152.45","152.75","147.86","162.54","133.17","177.23","118.48","191.92","103.79","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8292050.00","597740.00"
"Wed Jul 15 2026 09:57:00 GMT+0530 (India Standard Time)","152.75","153.00","147.95","149.15","147.91","162.43","133.38","176.95","118.86","191.48","104.33","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8302320.00","903045.00"
"Wed Jul 15 2026 09:58:00 GMT+0530 (India Standard Time)","149.15","151.15","148.15","150.45","147.93","162.36","133.51","176.78","119.09","191.20","104.67","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8264360.00","577005.00"
"Wed Jul 15 2026 09:59:00 GMT+0530 (India Standard Time)","150.45","150.90","144.40","145.30","147.91","162.18","133.64","176.45","119.37","190.72","105.10","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8381880.00","878865.00"
"Wed Jul 15 2026 10:00:00 GMT+0530 (India Standard Time)","145.30","146.10","142.00","143.45","147.84","161.99","133.69","176.14","119.54","190.29","105.39","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8382140.00","769860.00"
"Wed Jul 15 2026 10:01:00 GMT+0530 (India Standard Time)","143.45","145.45","139.30","141.30","147.72","161.76","133.69","175.79","119.66","189.82","105.62","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8473465.00","843245.00"
"Wed Jul 15 2026 10:02:00 GMT+0530 (India Standard Time)","141.30","145.60","140.60","145.20","147.67","161.63","133.72","175.58","119.77","189.53","105.82","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8505315.00","550745.00"
"Wed Jul 15 2026 10:03:00 GMT+0530 (India Standard Time)","145.20","149.10","145.15","149.10","147.68","161.46","133.89","175.25","120.10","189.04","106.31","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8631935.00","1037530.00"
"Wed Jul 15 2026 10:04:00 GMT+0530 (India Standard Time)","149.10","150.50","144.90","145.00","147.66","161.29","134.02","174.92","120.39","188.55","106.76","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8732425.00","1035970.00"
"Wed Jul 15 2026 10:05:00 GMT+0530 (India Standard Time)","145.00","147.25","145.00","145.90","147.64","161.22","134.07","174.80","120.49","188.37","106.91","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8714420.00","379275.00"
"Wed Jul 15 2026 10:06:00 GMT+0530 (India Standard Time)","145.90","149.00","145.50","146.40","147.64","161.16","134.12","174.68","120.60","188.19","107.08","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8778120.00","396500.00"
"Wed Jul 15 2026 10:07:00 GMT+0530 (India Standard Time)","146.40","150.85","146.40","148.90","147.65","161.09","134.21","174.52","120.78","187.96","107.34","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8821670.00","576550.00"
"Wed Jul 15 2026 10:08:00 GMT+0530 (India Standard Time)","149.00","153.30","148.70","151.70","147.72","161.04","134.39","174.36","121.07","187.69","107.75","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8899345.00","863590.00"
"Wed Jul 15 2026 10:09:00 GMT+0530 (India Standard Time)","151.70","153.25","149.25","150.30","147.75","161.00","134.51","174.25","121.26","187.49","108.01","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8896940.00","591110.00"
"Wed Jul 15 2026 10:10:00 GMT+0530 (India Standard Time)","150.30","151.50","148.40","148.40","147.77","160.97","134.57","174.17","121.37","187.36","108.17","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8942700.00","354055.00"
"Wed Jul 15 2026 10:11:00 GMT+0530 (India Standard Time)","148.70","150.30","146.55","148.55","147.77","160.91","134.64","174.04","121.50","187.18","108.37","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9009390.00","476905.00"
"Wed Jul 15 2026 10:12:00 GMT+0530 (India Standard Time)","148.75","154.20","148.75","151.50","147.82","160.88","134.77","173.93","121.72","186.98","108.66","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9039615.00","677885.00"
"Wed Jul 15 2026 10:13:00 GMT+0530 (India Standard Time)","151.25","151.85","149.20","151.85","147.84","160.86","134.83","173.87","121.81","186.89","108.80","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9058725.00","311740.00"
"Wed Jul 15 2026 10:14:00 GMT+0530 (India Standard Time)","151.70","154.95","151.10","154.50","147.91","160.86","134.95","173.82","121.99","186.78","109.03","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9095450.00","558740.00"
"Wed Jul 15 2026 10:15:00 GMT+0530 (India Standard Time)","154.50","156.35","153.70","154.30","148.03","160.90","135.16","173.77","122.30","186.64","109.43","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9050535.00","969085.00"
