"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 09:59:00 GMT+0530 (India Standard Time)","24190.00","24194.00","24190.00","24193.00","24167.90","24204.55","24131.24","24241.21","24094.58","24277.86","24057.93","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16283410.00","2600.00"
"Wed Jul 15 2026 10:00:00 GMT+0530 (India Standard Time)","24193.00","24195.00","24181.00","24191.90","24168.04","24204.62","24131.47","24241.19","24094.90","24277.76","24058.33","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284125.00","6435.00"
"Wed Jul 15 2026 10:01:00 GMT+0530 (India Standard Time)","24191.90","24193.00","24180.30","24180.30","24168.13","24204.62","24131.63","24241.12","24095.13","24277.62","24058.63","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279640.00","4810.00"
"Wed Jul 15 2026 10:02:00 GMT+0530 (India Standard Time)","24180.30","24191.90","24180.00","24191.90","24168.18","24204.64","24131.71","24241.11","24095.25","24277.57","24058.78","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16280420.00","2340.00"
"Wed Jul 15 2026 10:03:00 GMT+0530 (India Standard Time)","24191.90","24193.00","24184.20","24193.00","24168.22","24204.66","24131.78","24241.10","24095.34","24277.54","24058.90","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16281200.00","2080.00"
"Wed Jul 15 2026 10:04:00 GMT+0530 (India Standard Time)","24193.00","24198.90","24191.40","24191.40","24168.30","24204.71","24131.88","24241.13","24095.47","24277.54","24059.06","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282305.00","2730.00"
"Wed Jul 15 2026 10:05:00 GMT+0530 (India Standard Time)","24191.40","24195.00","24186.20","24186.30","24168.35","24204.73","24131.97","24241.12","24095.58","24277.50","24059.20","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282045.00","2340.00"
"Wed Jul 15 2026 10:06:00 GMT+0530 (India Standard Time)","24186.30","24194.00","24186.30","24190.00","24168.41","24204.76","24132.05","24241.11","24095.70","24277.46","24059.35","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16278860.00","2470.00"
"Wed Jul 15 2026 10:07:00 GMT+0530 (India Standard Time)","24190.00","24197.00","24190.00","24195.00","24168.44","24204.78","24132.10","24241.12","24095.76","24277.46","24059.42","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279315.00","1235.00"
"Wed Jul 15 2026 10:08:00 GMT+0530 (India Standard Time)","24195.00","24209.00","24193.10","24196.80","24168.62","24204.93","24132.30","24241.24","24095.99","24277.56","24059.68","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279510.00","5460.00"
"Wed Jul 15 2026 10:09:00 GMT+0530 (India Standard Time)","24196.80","24209.00","24194.40","24205.50","24168.68","24204.99","24132.37","24241.30","24096.06","24277.61","24059.75","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16278665.00","1690.00"
"Wed Jul 15 2026 10:10:00 GMT+0530 (India Standard Time)","24205.50","24205.50","24192.70","24194.50","24168.78","24205.06","24132.49","24241.35","24096.20","24277.64","24059.92","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16278860.00","3315.00"
"Wed Jul 15 2026 10:11:00 GMT+0530 (India Standard Time)","24194.50","24194.50","24190.00","24190.00","24168.79","24205.07","24132.52","24241.35","24096.24","24277.63","24059.96","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16276585.00","780.00"
"Wed Jul 15 2026 10:12:00 GMT+0530 (India Standard Time)","24190.00","24204.90","24190.00","24204.90","24168.94","24205.20","24132.69","24241.45","24096.44","24277.71","24060.18","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16276910.00","4680.00"
